amz_url,style_id,flip_url,flip_pdp_link
https://www.amazon.in/dp/B0BJPS48PJ,101_FS_DDL_BLK_L,https://www.flipkart.com/search?q=veirdo%20101_FS_DDL_BLK_L,https://www.flipkart.com/x/p/k?pid=TSHGJ663HZ9HN7HC
https://www.amazon.in/dp/B0BJPS6NQ5,101_FS_FRSOUL_SN_L,https://www.flipkart.com/search?q=veirdo%20101_FS_FRSOUL_SN_L,https://www.flipkart.com/x/p/k?pid=TSHGJ666P5FWQGMT
https://www.amazon.in/dp/B0BJPS1ZYL,101_FS_MSCT_BLK_L,https://www.flipkart.com/search?q=veirdo%20101_FS_MSCT_BLK_L,https://www.flipkart.com/x/p/k?pid=TSHGJHZACXZH9MFB
https://www.amazon.in/dp/B0BN42L8G7,101_FS_RCNCTNG_MR_L,https://www.flipkart.com/search?q=veirdo%20101_FS_RCNCTNG_MR_L,https://www.flipkart.com/x/p/k?pid=TSHGKRW8YUQ96RFD
https://www.amazon.in/dp/B0BJPTNZM7,101_FS_TEDDY_BLK_L,https://www.flipkart.com/search?q=veirdo%20101_FS_TEDDY_BLK_L,https://www.flipkart.com/x/p/k?pid=TSHGJMTKFAGESCFK
https://www.amazon.in/dp/B0BN426ZLD,101_FS_TPHPE_NY_L,https://www.flipkart.com/search?q=veirdo%20101_FS_TPHPE_NY_L,https://www.flipkart.com/x/p/k?pid=TSHGK8YEHARRFZGT
https://www.amazon.in/dp/B0BN43XNM3,101_FS_TPHPE_RD_M,https://www.flipkart.com/search?q=veirdo%20101_FS_TPHPE_RD_M,https://www.flipkart.com/x/p/k?pid=TSHGK8YKH2AFPYAR
https://www.amazon.in/dp/B0BN43ZGWX,101_FS_TRVLALNG_BL_L,https://www.flipkart.com/search?q=veirdo%20101_FS_TRVLALNG_BL_L,https://www.flipkart.com/x/p/k?pid=TSHGK8YGDDJZNCPB
https://www.amazon.in/dp/B0BN42PFDZ,101_FS_TRVLALNG_RD_L,https://www.flipkart.com/search?q=veirdo%20101_FS_TRVLALNG_RD_L,https://www.flipkart.com/x/p/k?pid=TSHGK8YGWSNGTJEY
https://www.amazon.in/dp/B0BJPT97PX,101_FS_VEIRDO_RB_L,https://www.flipkart.com/search?q=veirdo%20101_FS_VEIRDO_RB_L,https://www.flipkart.com/x/p/k?pid=TSHGJ663CYG4WUP6
https://www.amazon.in/dp/B0B1N5HSJF,C_DCM2214_W_3XL,https://www.flipkart.com/search?q=juneberry%20C_DCM2214_W_3XL,https://www.flipkart.com/x/p/k?pid=TOPGCYVGF9QGXAMU
https://www.amazon.in/dp/B09ZXGN3YY,C_DMF2205_SN_L,https://www.flipkart.com/search?q=juneberry%20C_DMF2205_SN_L,https://www.flipkart.com/x/p/k?pid=TOPGCYVG6SHXZ86P
https://www.amazon.in/dp/B0B6G465KS,C_DMF2221_RB_3XL,https://www.flipkart.com/search?q=juneberry%20C_DMF2221_RB_3XL,https://www.flipkart.com/x/p/k?pid=TOPGG9GMVNNFGG3H
https://www.amazon.in/dp/B09ZXWRPFD,C_DMK2225_W_L,https://www.flipkart.com/search?q=juneberry%20C_DMK2225_W_L,https://www.flipkart.com/x/p/k?pid=TOPGCYVGMPSGHEMZ
https://www.amazon.in/dp/B0B1N4X1YL,C_DMK2226_W_3XL,https://www.flipkart.com/search?q=juneberry%20C_DMK2226_W_3XL,https://www.flipkart.com/x/p/k?pid=TOPGCYVGZ9U8NXVK
https://www.amazon.in/dp/B09XX99Y13,C_MAV2231_W,https://www.flipkart.com/search?q=juneberry%20C_MAV2231_W,https://www.flipkart.com/x/p/k?pid=TOPGF2APHFZREUX8
https://www.amazon.in/dp/B0B1N46MR4,G4_DMD2209_YL_3XL,https://www.flipkart.com/search?q=juneberry%20G4_DMD2209_YL_3XL,https://www.flipkart.com/x/p/k?pid=TOPGCYVGYFGTH2QY
https://www.amazon.in/dp/B0B3S1KNLZ,G4_DMK3012_NB_L,https://www.flipkart.com/search?q=veirdo%20G4_DMK3012_NB_L,https://www.flipkart.com/x/p/k?pid=TSHGDYZFCGJDSPRW
https://www.amazon.in/dp/B09XX525XN,G4_MAV2236_W,https://www.flipkart.com/search?q=juneberry%20G4_MAV2236_W,https://www.flipkart.com/x/p/k?pid=TSHGF29YQGYYFFTB
https://www.amazon.in/dp/B09X7DP63Y,G4_MBP3045_BL_L,https://www.flipkart.com/search?q=veirdo%20G4_MBP3045_BL_L,https://www.flipkart.com/x/p/k?pid=TSHGDUYQCVWBSRUY
https://www.amazon.in/dp/B09X7C2H1D,G4_MCA3042_LB_L,https://www.flipkart.com/search?q=veirdo%20G4_MCA3042_LB_L,https://www.flipkart.com/x/p/k?pid=TSHGDUYRYZGSV8JC
https://www.amazon.in/dp/B09X7D65HK,G4_MH3050_BL_L,https://www.flipkart.com/search?q=veirdo%20G4_MH3050_BL_L,https://www.flipkart.com/x/p/k?pid=TSHGDUYQ8BWXHVCB
https://www.amazon.in/dp/B09X79J2HN,G4_MIM3046_NB_L,https://www.flipkart.com/search?q=veirdo%20G4_MIM3046_NB_L,https://www.flipkart.com/x/p/k?pid=TSHGEMZZDB2MYE4U
https://www.amazon.in/dp/B09X7D3SY5,G4_MSM3040_W_L,https://www.flipkart.com/search?q=veirdo%20G4_MSM3040_W_L,https://www.flipkart.com/x/p/k?pid=TSHGEMZNDAYYEE6K
https://www.amazon.in/dp/B09XXLN7N6,G4_SW2233_LB_L,https://www.flipkart.com/search?q=juneberry%20G4_SW2233_LB_L,https://www.flipkart.com/x/p/k?pid=TSHGF9VAKSCZXQGY
https://www.amazon.in/dp/B09X7DQHKW,G4_SW3054_RBW_L,https://www.flipkart.com/search?q=veirdo%20G4_SW3054_RBW_L,https://www.flipkart.com/x/p/k?pid=TSHGF9XUZJARE6GH
https://www.amazon.in/dp/B09X2TTD3Z,G5_DDK3015_RED_L,https://www.flipkart.com/search?q=veirdo%20G5_DDK3015_RED_L,https://www.flipkart.com/x/p/k?pid=TSHGCZPPEYHQYUBY
https://www.amazon.in/dp/B0B2LZC2CW,G5_DMK_3010_RB_3XL,https://www.flipkart.com/search?q=veirdo%20G5_DMK_3010_RB_3XL,https://www.flipkart.com/x/p/k?pid=TSHGD45GY4DFFPFZ
https://www.amazon.in/dp/B0B4GF39NX,G7_MT_GORR_BLK_P,https://www.flipkart.com/search?q=veirdo%20G7_MT_GORR_BLK_P,https://www.flipkart.com/x/p/k?pid=TSHFJGJWMHH4ASUP
https://www.amazon.in/dp/B0B4GH246G,G7_MT_GORR_BLK_P,https://www.flipkart.com/search?q=veirdo%20G7_MT_GORR_BLK_P,https://www.flipkart.com/x/p/k?pid=TSHFJGJWMHH4ASUP
https://www.amazon.in/dp/B0B4GF9YP7,G7_MT_GORR_BLK_P,https://www.flipkart.com/search?q=veirdo%20G7_MT_GORR_BLK_P,https://www.flipkart.com/x/p/k?pid=TSHFJGJWMHH4ASUP
https://www.amazon.in/dp/B0B4GDVKW2,G7_MT_GORR_BLK_P,https://www.flipkart.com/search?q=veirdo%20G7_MT_GORR_BLK_P,https://www.flipkart.com/x/p/k?pid=TSHFJGJWMHH4ASUP
https://www.amazon.in/dp/B0BJ2PRW8G,JB_55_TDBROWN_L,https://www.flipkart.com/search?q=juneberry%20JB_55_TDBROWN_L,https://www.flipkart.com/x/p/k?pid=TSHGGZDVPEGQGVYP
