,Unnamed: 0,amz_url,Title,Category,Selling Price,MRP,Seller Name,Product Details,Description,style_id,brand
0,0,https://www.amazon.in/dp/B0BJPS48PJ,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",499,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 27.2 x 12.5 x 3.5 cm; 310 Grams
Date First Available : 19 October 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BJPS48PJ
Item part number : 101_FS_DDL_BLK_L
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 310 g",na,101_FS_DDL_BLK_L,veirdo
1,1,https://www.amazon.in/dp/B0BJPS6NQ5,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",449,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 27.8 x 9.7 x 3.9 cm; 290 Grams
Date First Available : 19 October 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BJPS6NQ5
Item part number : 101_FS_FRSOUL_SN_L
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 290 g",na,101_FS_FRSOUL_SN_L,veirdo
2,2,https://www.amazon.in/dp/B0BJPS1ZYL,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",449,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 27 x 12.5 x 3.4 cm; 300 Grams
Date First Available : 19 October 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BJPS1ZYL
Item part number : 101_FS_MSCT_BLK_L
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 300 g",na,101_FS_MSCT_BLK_L,veirdo
3,3,https://www.amazon.in/dp/B0BN42L8G7,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",499,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 28 x 21.6 x 3.9 cm; 240 Grams
Date First Available : 22 November 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BN42L8G7
Item part number : 101_FS_RCNCTNG_MR_L
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 240 g",na,101_FS_RCNCTNG_MR_L,veirdo
4,4,https://www.amazon.in/dp/B0BJPTNZM7,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",499,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 28.2 x 21.1 x 2.9 cm; 300 Grams
Date First Available : 19 October 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BJPTNZM7
Item part number : 101_FS_TEDDY_BLK_L
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 300 g",na,101_FS_TEDDY_BLK_L,veirdo
5,5,https://www.amazon.in/dp/B0BN426ZLD,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",499,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 28 x 21.6 x 3.9 cm; 240 Grams
Date First Available : 22 November 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BN426ZLD
Item part number : 101_FS_TPHPE_NY_L
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 240 g",na,101_FS_TPHPE_NY_L,veirdo
6,6,https://www.amazon.in/dp/B0BN43XNM3,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",499,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 28 x 21.6 x 3.9 cm; 240 Grams
Date First Available : 22 November 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BN43XNM3
Item part number : 101_FS_TPHPE_RD_M
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 240 g",na,101_FS_TPHPE_RD_M,veirdo
7,7,https://www.amazon.in/dp/B0BN43ZGWX,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",499,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 28 x 21.6 x 3.9 cm; 240 Grams
Date First Available : 22 November 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BN43ZGWX
Item part number : 101_FS_TRVLALNG_BL_L
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 240 g",na,101_FS_TRVLALNG_BL_L,veirdo
8,8,https://www.amazon.in/dp/B0BN42PFDZ,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",499,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 28 x 21.6 x 3.9 cm; 240 Grams
Date First Available : 22 November 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BN42PFDZ
Item part number : 101_FS_TRVLALNG_RD_L
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 240 g",na,101_FS_TRVLALNG_RD_L,veirdo
9,9,https://www.amazon.in/dp/B0BJPT97PX,Veirdo® Pure Cotton Full Sleeves Round Neck Cool & Stylish Graphic Printed T-Shirt for Men & Boys,"Clothing & Accessories
›
Men
›
T-Shirts & Polos
›
T-Shirts",449,"₹1,199",Sold by AWESOMEFAB SHOPPING PRIVATE LIMITED and Fulfilled by Amazon.,"Package Dimensions : 28 x 21.6 x 3.9 cm; 240 Grams
Date First Available : 19 October 2022
Manufacturer : Awesomefab Shopping Pvt Ltd
ASIN : B0BJPT97PX
Item part number : 101_FS_VEIRDO_RB_L
Country of Origin : India
Department : Men
Manufacturer : Awesomefab Shopping Pvt Ltd
Item Weight : 240 g",na,101_FS_VEIRDO_RB_L,veirdo
