flipk_pdp_lst,flipk_given_lst,title_1,title_2
https://www.flipkart.com/x/p/k?pid=TOPGF2APHFZREUX8,https://www.flipkart.com/x/p/k?pid=TOPGF2APGFQEDY5Z,Casual Regular Sleeves Printed Women White Top,Casual Regular Sleeves Printed Women White Top
https://www.flipkart.com/x/p/k?pid=TSHGF29YQGYYFFTB,https://www.flipkart.com/x/p/k?pid=TSHGF29YX5ZCFEK2,"Women Printed Round Neck Red, White T-Shirt","Women Printed Round Neck Red, White T-Shirt"
https://www.flipkart.com/x/p/k?pid=TSHGCZPPEYHQYUBY,https://www.flipkart.com/x/p/k?pid=TSHGCZPPFU4ZC5GZ,Men Printed Round Neck Red T-Shirt,Men Printed Round Neck Red T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHFJGJWMHH4ASUP,https://www.flipkart.com/x/p/k?pid=VESGFZJBBNDBVDUV,Sports Texas Fit Stranger Things Cotton T Shirt For Men & Boys Anti-Bacterial & Anti-Sweat Men Printed Round Neck Grey T-Shirt,Men Vest
https://www.flipkart.com/x/p/k?pid=TSHFJGJWMHH4ASUP,https://www.flipkart.com/x/p/k?pid=VESGFZJBBR3P6H5S,Sports Texas Fit Stranger Things Cotton T Shirt For Men & Boys Anti-Bacterial & Anti-Sweat Men Printed Round Neck Grey T-Shirt,Men Vest
https://www.flipkart.com/x/p/k?pid=TSHFJGJWMHH4ASUP,https://www.flipkart.com/x/p/k?pid=VESGFZJBDQNZSBYN,Sports Texas Fit Stranger Things Cotton T Shirt For Men & Boys Anti-Bacterial & Anti-Sweat Men Printed Round Neck Grey T-Shirt,Men Vest
https://www.flipkart.com/x/p/k?pid=TSHFJGJWMHH4ASUP,https://www.flipkart.com/x/p/k?pid=VESGFZJBZR4BJHX3,Sports Texas Fit Stranger Things Cotton T Shirt For Men & Boys Anti-Bacterial & Anti-Sweat Men Printed Round Neck Grey T-Shirt,Men Vest
https://www.flipkart.com/x/p/k?pid=SWSG6HHJF7GG7FGQ,https://www.flipkart.com/x/p/k?pid=TSHGGZDVDFPZGZAR,Women Full Sleeve Solid Sweatshirt,Women Tie & Dye Round Neck Maroon T-Shirt
,https://www.flipkart.com/x/p/k?pid=TSHGDYZF9P2Y3UXN,NA,Men Printed Round Neck Black T-Shirt
https://www.flipkart.com/x/p/k?pid=TKPGBDUDQGKRSRY7,https://www.flipkart.com/x/p/k?pid=TSHGFWBGFTFSAQJ2,Men Solid Black Track Pants,Men Printed Round Neck Multicolor T-Shirt
https://www.flipkart.com/x/p/k?pid=TSHGFRXWBHNZCCTG,https://www.flipkart.com/x/p/k?pid=DREG4CSJNZRZ9EF3,Women Solid Round Neck Black T-Shirt,Women T Shirt Black Dress
https://www.flipkart.com/x/p/k?pid=TSHG9WNQGHFZ9FMH,https://www.flipkart.com/x/p/k?pid=JCKGKK52XBFWZMBX,Women Printed Round Neck Yellow T-Shirt,Men Solid Puffer Jacket
https://www.flipkart.com/x/p/k?pid=CWDG45UWAQTZTZEZ,https://www.flipkart.com/x/p/k?pid=TSHGGEZDKWWZZGTP,NA,Men Printed Polo Neck Navy Blue T-Shirt
https://www.flipkart.com/x/p/k?pid=TOPFMGMTNERVZZHY,https://www.flipkart.com/x/p/k?pid=DREGD6CF32GB5FMM,Casual Roll Up Sleeves Solid Women Light Blue Top,Women T Shirt Black Dress
https://www.flipkart.com/x/p/k?pid=TSHG4NWSH6KRBP55,https://www.flipkart.com/x/p/k?pid=DREGEPWS2SNQMYGR,Women Printed Round Neck Pink T-Shirt,Women T Shirt White Dress
,https://www.flipkart.com/x/p/k?pid=NSTGD6CH5YGZ6F74,NA,Women Top & Shorts Set White Printed
